label,M,K,N,tile_m,tile_k_l2,tile_k_l1,tile_n,herd_m,herd_n,status,latency_us,gflops,mean_rel_L1
pvo_c,192,256,64,32,256,32,16,6,4,NUMFAIL,72.7,8.652266e+01,9.452e-03
pvo_d,192,256,64,64,256,32,16,3,4,NUMFAIL,74.9,8.397992e+01,9.452e-03
pvo_e,192,256,64,48,128,32,16,4,4,NUMFAIL,71.4,8.813841e+01,9.452e-03
qkte_a_r2,192,64,320,48,64,64,80,4,4,NUMFAIL,83.6,9.405325e+01,9.416e-03
qkte_b_r2,192,64,320,48,64,32,80,4,4,NUMFAIL,82.9,9.488203e+01,9.416e-03
qkte_c_r2,192,64,320,32,64,64,80,6,4,NUMFAIL,79.8,9.849482e+01,9.416e-03
qkte_h,192,64,320,32,64,32,80,6,4,NUMFAIL,86.2,9.118470e+01,9.416e-03
qkte_i,192,64,320,48,64,16,80,4,4,NUMFAIL,90.6,8.684799e+01,9.416e-03
qkto_b_r2,192,64,256,48,64,32,64,4,4,NUMFAIL,80.1,7.850773e+01,9.390e-03
qkto_c_r2,192,64,256,32,64,64,64,6,4,NUMFAIL,78.5,8.014798e+01,9.390e-03
qkto_e_r2,192,64,256,48,64,64,32,4,4,NUMFAIL,82.7,7.606561e+01,9.390e-03
qkto_f,192,64,256,32,64,32,64,6,4,NUMFAIL,75.9,8.291645e+01,9.390e-03
pve_c_r2,192,320,64,32,320,32,16,6,4,NUMFAIL,70.1,1.121244e+02,9.270e-03
pve_a_r2,192,320,64,48,320,32,16,4,4,NUMFAIL,69.9,1.125069e+02,9.270e-03
pve_g,192,320,64,32,320,16,16,6,4,NUMFAIL,74.8,1.050880e+02,9.270e-03
pve_h,192,320,64,32,320,32,32,6,2,NUMFAIL,77.9,1.009939e+02,9.270e-03
pvo_b_r2,192,256,64,48,64,64,16,4,4,NUMFAIL,81.3,7.735923e+01,9.452e-03
pvo_e_r2,192,256,64,48,128,32,16,4,4,NUMFAIL,67.8,9.280762e+01,9.452e-03
pvo_c_r2,192,256,64,32,256,32,16,6,4,NUMFAIL,69.2,9.091705e+01,9.452e-03
pvo_f,192,256,64,32,64,64,16,6,4,NUMFAIL,68.9,9.130107e+01,9.452e-03
pvo_g,192,256,64,32,256,32,32,6,2,NUMFAIL,74.8,8.407828e+01,9.452e-03
qkte_b_r3,192,64,320,48,64,32,80,4,4,NUMFAIL,83.3,9.437443e+01,9.416e-03
qkte_c_r3,192,64,320,32,64,64,80,6,4,NUMFAIL,121.2,6.486168e+01,9.416e-03
qkte_a_r3,192,64,320,48,64,64,80,4,4,NUMFAIL,132.4,5.937704e+01,9.416e-03
qkto_f_r2,192,64,256,32,64,32,64,6,4,NUMFAIL,78.2,8.046225e+01,9.390e-03
qkto_c_r3,192,64,256,32,64,64,64,6,4,NUMFAIL,81.2,7.748666e+01,9.390e-03
qkto_f_r3,192,64,256,32,64,32,64,6,4,NUMFAIL,77.1,8.159400e+01,9.390e-03
pve_a_r3,192,320,64,48,320,32,16,4,4,NUMFAIL,75.7,1.038664e+02,9.270e-03
pve_c_r3,192,320,64,32,320,32,16,6,4,NUMFAIL,76.9,1.022303e+02,9.270e-03
pve_a_r4,192,320,64,48,320,32,16,4,4,NUMFAIL,75.7,1.038836e+02,9.270e-03
pvo_f_r2,192,256,64,32,64,64,16,6,4,NUMFAIL,70.6,8.908433e+01,9.452e-03
pvo_e_r3,192,256,64,48,128,32,16,4,4,NUMFAIL,77.6,8.107625e+01,9.452e-03
pvo_f_r3,192,256,64,32,64,64,16,6,4,NUMFAIL,70.7,8.902622e+01,9.452e-03
