# label,M,K,N,TILE_M,TILE_K_L2,TILE_K_L1,TILE_N,HERD_M,HERD_N
ktile720_a,64,720,960,16,240,48,80,4,4
ktile720_b,64,720,960,16,720,48,80,4,4
ktile720_c,64,720,960,16,144,48,80,4,4
ktile720_d,64,720,960,16,240,80,80,4,4
ktile720_e,64,720,960,16,360,40,80,4,4
ktile720_f,64,720,960,16,720,80,80,4,4
ktile720_g,64,720,960,16,720,144,80,4,4
kpad768,64,768,960,16,256,32,80,4,4
