# repeats of the in-tier leaders + extra variants
qkte_a_r2,192,64,320,48,64,64,80,4,4
qkte_b_r2,192,64,320,48,64,32,80,4,4
qkte_c_r2,192,64,320,32,64,64,80,6,4
qkte_h,192,64,320,32,64,32,80,6,4
qkte_i,192,64,320,48,64,16,80,4,4
qkto_b_r2,192,64,256,48,64,32,64,4,4
qkto_c_r2,192,64,256,32,64,64,64,6,4
qkto_e_r2,192,64,256,48,64,64,32,4,4
qkto_f,192,64,256,32,64,32,64,6,4
pve_c_r2,192,320,64,32,320,32,16,6,4
pve_a_r2,192,320,64,48,320,32,16,4,4
pve_g,192,320,64,32,320,16,16,6,4
pve_h,192,320,64,32,320,32,32,6,2
pvo_b_r2,192,256,64,48,64,64,16,4,4
pvo_e_r2,192,256,64,48,128,32,16,4,4
pvo_c_r2,192,256,64,32,256,32,16,6,4
pvo_f,192,256,64,32,64,64,16,6,4
pvo_g,192,256,64,32,256,32,32,6,2
