function_name,call_count,total_time_seconds,avg_time_seconds,median_time_seconds,min_time_seconds,max_time_seconds,std_dev_seconds
/home/jiajli/apps/IRON/iron/applications/llama_3.2_1b/src/model_with_json.py:__init__:229,1,6.732270310,6.732270310,6.732270310,6.732270310,6.732270310,0.000000000
/usr/lib/python3.12/pathlib.py:with_segments:385,132572,6.407042819,0.000048329,0.000047400,0.000044895,0.001268781,0.000007335
/home/jiajli/apps/IRON/iron/operators/gemm/design.py:set_rtps:547,7,5.589251807,0.798464544,0.796673564,0.792201467,0.811821200,0.006190734
/usr/lib/python3.12/pathlib.py:__eq__:522,87238,5.178491071,0.000059360,0.000044954,0.000029926,0.000903903,0.000053193
/usr/lib/python3.12/pathlib.py:_str_normcase:494,93355,4.991815189,0.000053471,0.000019547,0.000018315,0.010146681,0.000064819
/usr/lib/python3.12/pathlib.py:__str__:445,31306,3.909904113,0.000124893,0.000118198,0.000101562,0.010132224,0.000062070
/usr/lib/python3.12/copy.py:deepcopy:168,80565,3.631797893,0.000045079,0.000020358,0.000019226,0.000807221,0.000049177
/home/jiajli/apps/IRON/iron/applications/llama_3.2_1b/src/tokenizer.py:__init__:41,1,3.558394809,3.558394809,3.558394809,3.558394809,3.558394809,0.000000000
/usr/lib/python3.12/pathlib.py:__init__:1164,160426,3.543371536,0.000022087,0.000021571,0.000019426,0.000253046,0.000003170
/home/jiajli/apps/mlir-air/sandbox/lib/python3.12/site-packages/tiktoken/load.py:load_tiktoken_bpe:172,1,3.506399345,3.506399345,3.506399345,3.506399345,3.506399345,0.000000000
/home/jiajli/apps/mlir-air/sandbox/lib/python3.12/site-packages/torch/nn/modules/sparse.py:__init__:179,1,3.373417083,3.373417083,3.373417083,3.373417083,3.373417083,0.000000000
/home/jiajli/apps/mlir-air/sandbox/lib/python3.12/site-packages/torch/nn/modules/sparse.py:reset_parameters:183,1,3.370009391,3.370009391,3.370009391,3.370009391,3.370009391,0.000000000
/home/jiajli/apps/mlir-air/sandbox/lib/python3.12/site-packages/torch/nn/init.py:normal_:265,1,3.369955479,3.369955479,3.369955479,3.369955479,3.369955479,0.000000000
/home/jiajli/apps/mlir-air/sandbox/lib/python3.12/site-packages/torch/nn/init.py:_no_grad_normal_:82,1,3.369935442,3.369935442,3.369935442,3.369935442,3.369935442,0.000000000
/home/jiajli/apps/IRON/iron/common/aie_base.py:add_buffer:75,343,3.239231299,0.009443823,0.003024179,0.000024687,0.255294907,0.016698078
/home/jiajli/apps/IRON/iron/applications/llama_3.2_1b/src/block/transformer.py:__init__:114,16,3.122274300,0.195142144,0.189685569,0.186639799,0.222916351,0.010785847
/home/jiajli/apps/mlir-air/sandbox/lib/python3.12/site-packages/torch/nn/modules/linear.py:__init__:115,112,2.969422871,0.026512704,0.012786130,0.003402943,0.081399155,0.021784645
/home/jiajli/apps/mlir-air/sandbox/lib/python3.12/site-packages/torch/nn/modules/linear.py:reset_parameters:125,112,2.934688017,0.026202572,0.012493229,0.003170956,0.080854679,0.021746485
/home/jiajli/apps/IRON/iron/operators/gemv/design.py:my_matvec:165,9,2.932768561,0.325863173,0.326211329,0.322964931,0.328186400,0.001438894
/home/jiajli/apps/mlir-air/sandbox/lib/python3.12/site-packages/torch/nn/init.py:kaiming_uniform_:574,112,2.928885173,0.026150760,0.012448705,0.003131061,0.080779638,0.021741545
/home/jiajli/apps/IRON/iron/applications/llama_3.2_1b/src/utils.py:generate:281,1,2.842216257,2.842216257,2.842216257,2.842216257,2.842216257,0.000000000
/home/jiajli/apps/IRON/iron/applications/llama_3.2_1b/src/model_with_json.py:forward:285,1,2.830129950,2.830129950,2.830129950,2.830129950,2.830129950,0.000000000
/home/jiajli/apps/IRON/iron/common/aie_base.py:__call__:53,194,2.745355135,0.014151315,0.005263199,0.002200036,0.270148930,0.025165141
/usr/lib/python3.12/pathlib.py:drive:558,38884,2.706658868,0.000069609,0.000059682,0.000048041,0.015032959,0.000093507
/home/jiajli/apps/IRON/iron/common/aie_base.py:_move_artifact_paths:176,516,2.692867497,0.005218735,0.003743299,0.003421207,0.019518021,0.003052767
